destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y
1,0,2,1,2,4,0,0,0,3,1,4,24,3,0,0,2,3,2,0,0,0,1
1,1,2,2,0,2,1,0,0,3,1,4,24,3,0,0,2,3,2,0,0,0,0
1,1,2,2,0,1,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,1,2,2,2,2,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,0
1,1,2,2,2,2,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,0
1,1,2,2,3,4,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,1,2,1,2,1,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,2,2,2,0,4,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,2,2,2,0,1,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,2,2,2,0,0,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,0
1,2,2,2,2,4,0,0,0,3,1,4,24,3,0,0,2,3,2,0,0,0,1
1,2,2,1,2,4,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,2,2,1,3,2,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
0,0,2,1,3,0,0,0,0,3,1,4,24,3,0,0,2,3,2,0,0,1,1
0,0,2,1,3,3,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
0,0,2,2,3,2,1,0,0,3,1,4,24,3,0,0,2,3,2,0,0,0,0
2,0,2,1,4,2,1,0,0,3,1,4,24,3,0,0,2,3,2,1,1,0,1
2,0,2,1,4,0,0,0,0,3,1,4,24,3,0,0,2,3,2,1,1,0,0
2,0,2,2,4,3,0,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
2,0,2,2,4,1,1,0,0,3,1,4,24,3,0,0,2,3,2,0,0,1,1
2,0,2,1,4,4,0,0,0,3,1,4,24,3,0,0,2,3,2,0,0,0,0
2,0,2,1,4,2,1,0,0,3,1,4,24,3,0,0,2,3,2,1,0,0,1
1,0,2,1,2,4,0,1,0,2,0,1,0,5,0,1,3,3,1,0,0,0,1
1,1,2,2,0,2,1,1,0,2,0,1,0,5,0,1,3,3,1,0,0,0,0
